Date,Price,Returns
2014-10-01,38.95292663574219,
2014-10-02,38.83412170410156,-0.003049961630652187
2014-10-03,39.11417388916016,0.007211497846982828
2014-10-06,39.11417388916016,0.0
2014-10-07,38.6389274597168,-0.012150235635554951
2014-10-08,39.69974899291992,0.027454735494640392
2014-10-09,38.91050720214844,-0.019880271558196494
2014-10-10,37.36596298217773,-0.03969478506015023
2014-10-13,37.0434684753418,-0.008630702411971836
2014-10-14,37.11137390136719,0.0018331281821137857
2014-10-15,36.67855453491211,-0.011662714713968958
2014-10-16,36.27120971679688,-0.011105803466914144
2014-10-17,37.0265007019043,0.020823429684443173
2014-10-20,37.40839385986328,0.010314049416485727
2014-10-21,38.08731460571289,0.01814888787775648
2014-10-22,37.662994384765625,-0.011140722976663242
2014-10-23,38.20612335205078,0.014420759054273313
2014-10-24,39.14811706542969,0.024655569074592876
2014-10-27,38.9614143371582,-0.0047691368644739995
2014-10-28,39.4536361694336,0.012633571974977276
2014-10-29,39.563941955566406,0.002795833206832965
2014-10-30,39.08021926879883,-0.012226352149410147
2014-10-31,39.84402847290039,0.01954464991222249
2014-11-03,40.25984573364258,0.010436124977297512
2014-11-04,40.37017059326172,0.0027403199790938526
2014-11-05,40.61628723144531,0.006096497353535346
2014-11-06,41.32914733886719,0.01755108987091214
2014-11-07,41.31216430664063,-0.0004109214276140083
2014-11-10,41.49038696289063,0.004314047914002694
2014-11-11,41.473419189453125,-0.00040895674105623225
2014-11-12,41.39702987670898,-0.0018418860618941713
2014-11-13,42.10141372680664,0.01701532337453915
2014-11-14,42.07595443725586,-0.0006047134121429654
2014-11-17,41.974117279052734,-0.0024203172468728607
2014-11-18,41.62397384643555,-0.008341889128706592
2014-11-19,41.179908752441406,-0.010668493489651931
2014-11-20,41.58982467651367,0.009954269848836406
2014-11-21,40.97493743896485,-0.014784559500585104
2014-11-24,40.641876220703125,-0.008128413100272458
2014-11-25,40.539398193359375,-0.0025214885943564136
2014-11-26,40.77851104736328,0.005898283266648763
2014-11-28,40.82975387573242,0.0012566135215095198
2014-12-01,41.52149200439453,0.016942010739703584
2014-12-02,41.38485336303711,-0.003290793147388782
2014-12-03,41.060340881347656,-0.00784133457820324
2014-12-04,41.70937728881836,0.015806892820160234
2014-12-05,41.35069274902344,-0.008599613878461754
2014-12-08,40.73581314086914,-0.014869874415074147
2014-12-09,40.641876220703125,-0.0023060033155879456
2014-12-10,40.05261993408203,-0.01449874714004773
2014-12-11,40.2831916809082,0.005756720714041652
2014-12-12,40.095314025878906,-0.004663921779523239
2014-12-15,39.85619354248047,-0.005963801237324207
2014-12-16,38.56664276123047,-0.03235509130784253
2014-12-17,39.06196975708008,0.012843404568974925
2014-12-18,40.58209991455078,0.03891586028365035
2014-12-19,40.70164489746094,0.002945756458188953
2014-12-22,40.97493743896485,0.006714533090552477
2014-12-23,41.37632369995117,0.00979589685973803
2014-12-24,41.111572265625,-0.006398621497793577
2014-12-26,40.8895378112793,-0.005400777496689324
2014-12-29,40.52231597900391,-0.008980826194960989
2014-12-30,40.15509033203125,-0.009062306487194305
2014-12-31,39.6683235168457,-0.012122169596945453
2015-01-02,39.93305587768555,0.006673646309439452
2015-01-05,39.56583786010742,-0.009195840626445184
2015-01-06,38.98511505126953,-0.014677379280862102
2015-01-07,39.48043823242188,0.012705443616132683
2015-01-08,40.641876220703125,0.02941806221713761
2015-01-09,40.300270080566406,-0.008405274852018363
2015-01-12,39.7964096069336,-0.012502657491513358
2015-01-13,39.59144973754883,-0.005150210066916738
2015-01-14,39.249847412109375,-0.008628184310095488
2015-01-15,38.839935302734375,-0.010443661221687495
2015-01-16,39.48898315429688,0.016710837608342022
2015-01-20,39.617069244384766,0.003243590486678549
2015-01-21,39.2156982421875,-0.010131264372973625
2015-01-22,40.24903869628906,0.026350173538155053
2015-01-23,40.29174041748047,0.0010609376664527659
2015-01-26,40.14655303955078,-0.0036034029909192133
2015-01-27,36.43165588378906,-0.09253340260873577
2015-01-28,35.17627716064453,-0.034458459070567105
2015-01-29,35.876556396484375,0.01990771316253226
2015-01-30,34.501609802246094,-0.03832437481020379
2015-02-02,35.25313949584961,0.02178245299019621
2015-02-03,35.526405334472656,0.007751531992071792
2015-02-04,35.731380462646484,0.0057696557319559805
2015-02-05,36.25231170654297,0.014579096501492916
2015-02-06,36.218143463134766,-0.0009425121268069603
2015-02-09,36.17545700073242,-0.0011785933325321185
2015-02-10,36.38041305541992,0.005665610656510944
2015-02-11,36.19253540039063,-0.005164252938609781
2015-02-12,36.79888153076172,0.01675334771834036
2015-02-13,37.464988708496094,0.018101288681221073
2015-02-17,37.48220443725586,0.00045951511940156564
2015-02-18,37.43918228149414,-0.0011478021745955358
2015-02-19,37.41339874267578,-0.0006886779370474105
2015-02-20,37.72301864624024,0.008275642255705762
2015-02-23,37.97244644165039,0.006612084726019374
2015-02-24,37.92083740234375,-0.0013591181012249098
2015-02-25,37.8348274230957,-0.0022681455669206763
2015-02-26,37.8950309753418,0.001591220479820299
2015-02-27,37.71442031860352,-0.004766077559239856
2015-03-02,37.7402229309082,0.0006841577329494974
2015-03-03,37.22418212890625,-0.013673496389957185
2015-03-04,37.03495407104492,-0.0050834712017590045
2015-03-05,37.07795715332031,0.0011611485245235365
2015-03-06,36.432899475097656,-0.017397335984700835
2015-03-09,36.85433197021485,0.011567360852112518
2015-03-10,36.14908599853516,-0.019136040025081957
2015-03-11,36.1060791015625,-0.0011897091111627844
2015-03-12,35.280399322509766,-0.022868165128929863
2015-03-13,35.59002685546875,0.008776191281979928
