Date,Price
2010-01-04,43.77755355834961
2010-01-05,45.21135330200195
2010-01-06,46.58280563354492
2010-01-07,48.46855545043945
2010-01-08,48.001007080078125
2010-01-11,47.43217849731445
2010-01-12,47.08931350708008
2010-01-13,47.65814971923828
2010-01-14,47.9698486328125
2010-01-15,47.393211364746094
2010-01-19,47.2607421875
2010-01-20,46.91008377075195
2010-01-21,46.1308479309082
2010-01-22,45.01653289794922
2010-01-25,45.02431106567383
2010-01-26,44.969783782958984
2010-01-27,48.25816345214844
2010-01-28,48.74908447265625
2010-01-29,47.221771240234375
2010-02-01,48.078941345214844
2010-02-02,48.265953063964844
2010-02-03,48.2188835144043
2010-02-04,46.53992462158203
2010-02-05,45.818145751953125
2010-02-08,45.418006896972656
2010-02-09,46.86944580078125
2010-02-10,46.712528228759766
2010-02-11,47.536319732666016
2010-02-12,46.79884338378906
2010-02-16,48.061973571777344
2010-02-17,48.50131607055664
2010-02-18,49.34080505371094
2010-02-19,49.88999938964844
2010-02-22,50.18811798095703
2010-02-23,49.24665451049805
2010-02-24,49.80369186401367
2010-02-25,49.325103759765625
2010-02-26,49.55263900756836
2010-03-01,50.21165466308594
2010-03-02,50.556861877441406
2010-03-03,50.56470489501953
2010-03-04,51.427711486816406
2010-03-05,53.29497146606445
2010-03-08,52.753623962402344
2010-03-09,53.18513107299805
2010-03-10,54.926856994628906
2010-03-11,54.973934173583984
2010-03-12,54.78562927246094
2010-03-15,54.44826126098633
2010-03-16,53.9147834777832
2010-03-17,54.43256378173828
2010-03-18,55.6015625
2010-03-19,55.4838752746582
2010-03-22,56.41751480102539
2010-03-23,56.62932586669922
2010-03-24,56.739166259765625
2010-03-25,56.87253189086914
2010-03-26,56.950992584228516
2010-03-29,58.14352035522461
2010-03-30,57.688499450683594
2010-03-31,56.9666862487793
2010-04-01,57.26482009887695
2010-04-05,56.51949691772461
2010-04-06,56.77056884765625
2010-04-07,56.56657028198242
2010-04-08,56.707794189453125
2010-04-09,56.817623138427734
2010-04-12,56.42533874511719
2010-04-13,55.852603912353516
2010-04-14,56.25273132324219
2010-04-15,56.55873107910156
2010-04-16,55.53879928588867
2010-04-19,55.67216491699219
2010-04-20,56.025238037109375
2010-04-21,58.18275833129883
2010-04-22,59.30467224121094
2010-04-23,58.94379806518555
2010-04-26,58.32399368286133
2010-04-27,56.86471176147461
2010-04-28,56.77840805053711
2010-04-29,57.89247512817383
2010-04-30,56.82547378540039
2010-05-03,58.36320877075195
2010-05-04,57.10790252685547
2010-05-05,56.02682876586914
2010-05-06,53.63582992553711
2010-05-07,52.649444580078125
2010-05-10,56.02682876586914
2010-05-11,56.358253479003906
2010-05-12,57.50246810913086
2010-05-13,56.62654113769531
2010-05-14,55.095680236816406
2010-05-17,54.985206604003906
2010-05-18,53.438541412353516
2010-05-19,52.246986389160156
2010-05-20,49.713951110839844
2010-05-21,50.94497299194336
2010-05-24,49.832313537597656
2010-05-25,49.54033660888672
2010-05-26,49.91911315917969
2010-05-27,51.39475631713867
2010-05-28,50.64509582519531
2010-06-01,49.67449188232422
2010-06-02,50.7713623046875
2010-06-03,50.74769592285156
2010-06-04,48.254085540771484
2010-06-07,47.43342590332031
2010-06-08,48.151512145996094
2010-06-09,48.69599914550781
2010-06-10,50.41625213623047
2010-06-11,51.592018127441406
2010-06-14,51.15013122558594
2010-06-15,53.24916076660156
2010-06-16,52.89406967163086
2010-06-17,53.0755615234375
2010-06-18,53.627933502197266
2010-06-21,53.63582992553711
2010-06-22,52.30223083496094
2010-06-23,53.225494384765625
2010-06-24,53.209716796875
2010-06-25,54.26710510253906
2010-06-28,53.10713195800781
2010-06-29,49.745513916015625
2010-06-30,49.51667404174805
2010-07-01,49.1300048828125
2010-07-02,48.877498626708984
2010-07-06,48.4198112487793
2010-07-07,49.950679779052734
2010-07-08,51.0791130065918
2010-07-09,51.02387619018555
2010-07-12,50.7713623046875
2010-07-13,50.84237289428711
2010-07-14,51.09489822387695
2010-07-15,50.7950325012207
2010-07-16,48.84593963623047
2010-07-19,49.85599136352539
2010-07-20,50.40836715698242
2010-07-21,49.85599136352539
2010-07-22,52.55474853515625
2010-07-23,53.60426330566406
2010-07-26,54.33024597167969
2010-07-27,54.14875793457031
2010-07-28,53.12290954589844
2010-07-29,53.04400634765625
2010-07-30,53.76997375488281
2010-08-02,54.99309158325195
2010-08-03,54.87473678588867
2010-08-04,54.97794723510742
2010-08-05,54.54924011230469
2010-08-06,54.54128646850586
2010-08-09,54.77151870727539
2010-08-10,54.477779388427734
2010-08-11,52.080177307128906
2010-08-12,51.36566925048828
2010-08-13,51.47682189941406
2010-08-16,51.12750244140625
2010-08-17,52.389808654785156
2010-08-18,52.39775848388672
2010-08-19,51.30215835571289
2010-08-20,51.28628158569336
2010-08-23,50.25420379638672
2010-08-24,48.37264633178711
2010-08-25,48.23768997192383
2010-08-26,48.682273864746094
2010-08-27,50.1430549621582
2010-08-30,49.30152893066406
2010-08-31,48.53142547607422
2010-09-01,49.452362060546875
2010-09-02,50.32565689086914
2010-09-03,51.318023681640625
2010-09-07,50.34947204589844
2010-09-08,51.206886291503906
2010-09-09,50.36534881591797
2010-09-10,50.682918548583984
2010-09-13,50.96078872680664
2010-09-14,49.82549285888672
2010-09-15,49.80167770385742
2010-09-16,49.682594299316406
2010-09-17,49.97633361816406
2010-09-20,50.587646484375
2010-09-21,50.99253845214844
2010-09-22,50.73053741455078
2010-09-23,49.738162994384766
2010-09-24,51.28628158569336
2010-09-27,50.722599029541016
2010-09-28,51.2227668762207
